in s,C1 in V,C2 in V
-1.17864E-01,6.717539E+00,8.233555E+00
-1.17864E-01,6.912852E+00,8.458164E+00
-1.17840E-01,6.707773E+00,8.233555E+00
-1.17840E-01,6.912852E+00,8.458164E+00
-1.17816E-01,6.707773E+00,8.194492E+00
-1.17816E-01,6.912852E+00,8.458164E+00
-1.17792E-01,6.678477E+00,8.194492E+00
-1.17792E-01,6.932383E+00,8.448398E+00
-1.17768E-01,6.678477E+00,8.214023E+00
-1.17768E-01,6.932383E+00,8.428867E+00
-1.17744E-01,6.678477E+00,8.214023E+00
-1.17744E-01,6.932383E+00,8.487461E+00
-1.17720E-01,6.688242E+00,8.204258E+00
-1.17720E-01,6.932383E+00,8.487461E+00
-1.17696E-01,6.688242E+00,8.204258E+00
-1.17696E-01,6.932383E+00,8.458164E+00
-1.17672E-01,6.688242E+00,8.214023E+00
-1.17672E-01,6.942148E+00,8.419102E+00
-1.17648E-01,6.698008E+00,8.174961E+00
-1.17648E-01,6.942148E+00,8.419102E+00
-1.17624E-01,6.688242E+00,8.174961E+00
-1.17624E-01,6.932383E+00,8.448398E+00
-1.17600E-01,6.688242E+00,8.214023E+00
-1.17600E-01,6.932383E+00,8.458164E+00
-1.17576E-01,6.688242E+00,8.174961E+00
-1.17576E-01,6.912852E+00,8.458164E+00
-1.17552E-01,6.678477E+00,8.145664E+00
-1.17552E-01,6.912852E+00,8.380039E+00
-1.17528E-01,6.678477E+00,8.145664E+00
-1.17528E-01,6.912852E+00,8.370273E+00
-1.17504E-01,6.698008E+00,8.194492E+00
-1.17504E-01,6.912852E+00,8.399570E+00
-1.17480E-01,6.698008E+00,8.184727E+00
-1.17480E-01,6.912852E+00,8.399570E+00
-1.17456E-01,6.698008E+00,8.184727E+00
-1.17456E-01,6.903086E+00,8.409336E+00
-1.17432E-01,6.698008E+00,8.126133E+00
-1.17432E-01,6.912852E+00,8.409336E+00
-1.17408E-01,6.698008E+00,8.126133E+00
-1.17408E-01,6.912852E+00,8.360508E+00
-1.17384E-01,6.707773E+00,8.145664E+00
-1.17384E-01,6.893320E+00,8.331211E+00
-1.17360E-01,6.717539E+00,8.145664E+00
-1.17360E-01,6.893320E+00,8.321445E+00
-1.17336E-01,6.717539E+00,8.106602E+00
-1.17336E-01,6.873789E+00,8.321445E+00
-1.17312E-01,6.717539E+00,8.106602E+00
-1.17312E-01,6.873789E+00,8.292148E+00
-1.17288E-01,6.717539E+00,8.126133E+00
-1.17288E-01,6.873789E+00,8.331211E+00
-1.17264E-01,6.717539E+00,8.165195E+00
-1.17264E-01,6.873789E+00,8.331211E+00
-1.17240E-01,6.717539E+00,8.135898E+00
-1.17240E-01,6.883555E+00,8.301914E+00
-1.17216E-01,6.717539E+00,8.135898E+00
-1.17216E-01,6.883555E+00,8.321445E+00
-1.17192E-01,6.717539E+00,8.145664E+00
-1.17192E-01,6.864023E+00,8.321445E+00
-1.17168E-01,6.717539E+00,8.087070E+00
-1.17168E-01,6.864023E+00,8.301914E+00
-1.17144E-01,6.727305E+00,8.087070E+00
-1.17144E-01,6.864023E+00,8.292148E+00
-1.17120E-01,6.717539E+00,8.096836E+00
-1.17120E-01,6.864023E+00,8.292148E+00
-1.17096E-01,6.717539E+00,8.087070E+00
-1.17096E-01,6.873789E+00,8.292148E+00
-1.17072E-01,6.717539E+00,8.087070E+00
-1.17072E-01,6.873789E+00,8.272617E+00
-1.17048E-01,6.727305E+00,8.106602E+00
-1.17048E-01,6.864023E+00,8.272617E+00
-1.17024E-01,6.717539E+00,8.057773E+00
-1.17024E-01,6.864023E+00,8.262852E+00
-1.17000E-01,6.717539E+00,8.048008E+00
-1.17000E-01,6.873789E+00,8.204258E+00
-1.16976E-01,6.717539E+00,8.048008E+00
-1.16976E-01,6.873789E+00,8.223789E+00
-1.16952E-01,6.727305E+00,8.048008E+00
-1.16952E-01,6.873789E+00,8.233555E+00
-1.16928E-01,6.727305E+00,8.038242E+00
-1.16928E-01,6.873789E+00,8.233555E+00
-1.16904E-01,6.717539E+00,8.018711E+00
-1.16904E-01,6.873789E+00,8.223789E+00
-1.16880E-01,6.717539E+00,8.018711E+00
-1.16880E-01,6.864023E+00,8.233555E+00
-1.16856E-01,6.707773E+00,8.028477E+00
-1.16856E-01,6.864023E+00,8.233555E+00
-1.16832E-01,6.707773E+00,7.989414E+00
-1.16832E-01,6.864023E+00,8.223789E+00
-1.16808E-01,6.717539E+00,7.989414E+00
-1.16808E-01,6.864023E+00,8.223789E+00
-1.16784E-01,6.717539E+00,8.067539E+00
-1.16784E-01,6.864023E+00,8.262852E+00
-1.16760E-01,6.717539E+00,8.028477E+00
-1.16760E-01,6.854258E+00,8.262852E+00
