in s,C1 in V
-5.5648608E-01,5.66992E+00
-5.5647684E-01,5.59180E+00
-5.5646760E-01,5.66992E+00
-5.5645836E-01,5.65039E+00
-5.5644912E-01,5.63086E+00
-5.5643988E-01,5.59180E+00
-5.5643064E-01,5.65039E+00
-5.5642140E-01,5.68945E+00
-5.5641216E-01,5.68945E+00
-5.5640292E-01,5.63086E+00
-5.5639368E-01,5.70898E+00
-5.5638444E-01,5.72852E+00
-5.5637520E-01,5.63086E+00
-5.5636596E-01,5.59180E+00
-5.5635672E-01,5.68945E+00
-5.5634748E-01,5.63086E+00
-5.5633824E-01,5.63086E+00
-5.5632900E-01,5.66992E+00
-5.5631976E-01,5.65039E+00
-5.5631052E-01,5.66992E+00
-5.5630128E-01,5.70898E+00
-5.5629204E-01,5.65039E+00
-5.5628280E-01,5.65039E+00
-5.5627356E-01,5.72852E+00
-5.5626432E-01,5.70898E+00
-5.5625508E-01,5.63086E+00
-5.5624584E-01,5.65039E+00
-5.5623660E-01,5.68945E+00
-5.5622736E-01,5.68945E+00
-5.5621812E-01,5.63086E+00
-5.5620888E-01,5.66992E+00
-5.5619964E-01,5.68945E+00
-5.5619040E-01,5.63086E+00
-5.5618116E-01,5.63086E+00
-5.5617192E-01,5.66992E+00
-5.5616268E-01,5.66992E+00
-5.5615344E-01,5.63086E+00
-5.5614420E-01,5.68945E+00
-5.5613496E-01,5.65039E+00
-5.5612572E-01,5.70898E+00
-5.5611648E-01,5.65039E+00
-5.5610724E-01,5.68945E+00
-5.5609800E-01,5.68945E+00
-5.5608876E-01,5.65039E+00
-5.5607952E-01,5.68945E+00
-5.5607028E-01,5.65039E+00
-5.5606104E-01,5.65039E+00
-5.5605180E-01,5.68945E+00
-5.5604256E-01,5.63086E+00
-5.5603332E-01,5.63086E+00
-5.5602408E-01,5.68945E+00
-5.5601484E-01,5.68945E+00
-5.5600560E-01,5.66992E+00
-5.5599636E-01,5.57227E+00
-5.5598712E-01,5.68945E+00
-5.5597788E-01,5.68945E+00
-5.5596864E-01,5.63086E+00
-5.5595940E-01,5.68945E+00
-5.5595016E-01,5.70898E+00
-5.5594092E-01,5.63086E+00
-5.5593168E-01,5.70898E+00
-5.5592244E-01,5.59180E+00
-5.5591320E-01,5.63086E+00
-5.5590396E-01,5.66992E+00
-5.5589472E-01,5.63086E+00
-5.5588548E-01,5.63086E+00
-5.5587624E-01,5.65039E+00
-5.5586700E-01,5.72852E+00
-5.5585776E-01,5.70898E+00
-5.5584852E-01,5.70898E+00
-5.5583928E-01,5.68945E+00
-5.5583004E-01,5.66992E+00
-5.5582080E-01,5.66992E+00
-5.5581156E-01,5.68945E+00
-5.5580232E-01,5.70898E+00
-5.5579308E-01,5.68945E+00
-5.5578384E-01,5.61133E+00
-5.5577460E-01,5.74805E+00
-5.5576536E-01,5.65039E+00
-5.5575612E-01,5.65039E+00
-5.5574688E-01,5.66992E+00
-5.5573764E-01,5.57227E+00
-5.5572840E-01,5.65039E+00
-5.5571916E-01,5.72852E+00
-5.5570992E-01,5.68945E+00
-5.5570068E-01,5.66992E+00
-5.5569144E-01,5.65039E+00
-5.5568220E-01,5.59180E+00
-5.5567296E-01,5.65039E+00
-5.5566372E-01,5.66992E+00
-5.5565448E-01,5.63086E+00
-5.5564524E-01,5.68945E+00
-5.5563600E-01,5.63086E+00
-5.5562676E-01,5.70898E+00
-5.5561752E-01,5.63086E+00
-5.5560828E-01,5.74805E+00
-5.5559904E-01,5.66992E+00
-5.5558980E-01,5.65039E+00
-5.5558056E-01,5.70898E+00
-5.5557132E-01,5.65039E+00
-5.5556208E-01,5.66992E+00
-5.5555284E-01,5.68945E+00
-5.5554360E-01,5.66992E+00
-5.5553436E-01,5.65039E+00
-5.5552512E-01,5.68945E+00
-5.5551588E-01,5.63086E+00
-5.5550664E-01,5.70898E+00
-5.5549740E-01,5.70898E+00
-5.5548816E-01,5.66992E+00
-5.5547892E-01,5.66992E+00
-5.5546968E-01,5.63086E+00
-5.5546044E-01,5.63086E+00
-5.5545120E-01,5.66992E+00
-5.5544196E-01,5.66992E+00
-5.5543272E-01,5.66992E+00
-5.5542348E-01,5.70898E+00
-5.5541424E-01,5.68945E+00
-5.5540500E-01,5.65039E+00
-5.5539576E-01,5.66992E+00
-5.5538652E-01,5.66992E+00
-5.5537728E-01,5.63086E+00
-5.5536804E-01,5.68945E+00
-5.5535880E-01,5.70898E+00
-5.5534956E-01,5.68945E+00
-5.5534032E-01,5.70898E+00
-5.5533108E-01,5.66992E+00
-5.5532184E-01,5.68945E+00
-5.5531260E-01,5.68945E+00
-5.5530336E-01,5.63086E+00
-5.5529412E-01,5.63086E+00
-5.5528488E-01,5.65039E+00
-5.5527564E-01,5.66992E+00
-5.5526640E-01,5.61133E+00
-5.5525716E-01,5.65039E+00
-5.5524792E-01,5.68945E+00
-5.5523868E-01,5.65039E+00
-5.5522944E-01,5.70898E+00
-5.5522020E-01,5.70898E+00
-5.5521096E-01,5.63086E+00
-5.5520172E-01,5.66992E+00
-5.5519248E-01,5.72852E+00
-5.5518324E-01,5.70898E+00
-5.5517400E-01,5.65039E+00
-5.5516476E-01,5.68945E+00
-5.5515552E-01,5.68945E+00
-5.5514628E-01,5.74805E+00
-5.5513704E-01,5.66992E+00
-5.5512780E-01,5.68945E+00
-5.5511856E-01,5.68945E+00
-5.5510932E-01,5.68945E+00
-5.5510008E-01,5.66992E+00
-5.5509084E-01,5.68945E+00
-5.5508160E-01,5.68945E+00
-5.5507236E-01,5.68945E+00
-5.5506312E-01,5.70898E+00
-5.5505388E-01,5.76758E+00
-5.5504464E-01,5.68945E+00
-5.5503540E-01,5.65039E+00
-5.5502616E-01,5.70898E+00
-5.5501692E-01,5.70898E+00
-5.5500768E-01,5.63086E+00
-5.5499844E-01,5.63086E+00
-5.5498920E-01,5.66992E+00
-5.5497996E-01,5.70898E+00
-5.5497072E-01,5.74805E+00
-5.5496148E-01,5.65039E+00
-5.5495224E-01,5.70898E+00
-5.5494300E-01,5.68945E+00
-5.5493376E-01,5.72852E+00
